iter	RMSE
0	450.3466676
1	444.7828973
2	439.8140827
3	434.8576612
4	429.9463435
5	425.575925
6	421.2971971
7	417.1778706
8	413.0924185
9	409.2532674
10	405.061017
11	401.1597572
12	397.7100017
13	394.3706514
14	391.4596609
15	388.303362
16	384.9473954
17	381.6163237
18	378.8879741
19	376.3000722
20	373.6524044
21	370.932209
22	368.8545967
23	366.4806915
24	363.9600898
25	361.642195
26	359.8233452
27	357.7073964
28	355.9861101
29	354.0664963
30	352.4684537
31	350.8233298
32	349.020636
33	347.4311352
34	345.9570401
35	344.5950902
36	343.0900948
37	341.4835871
38	340.4954741
39	339.3219467
40	337.9905246
41	337.0933811
42	336.021494
43	334.5670044
44	333.2734387
45	332.2826304
46	331.0062385
47	329.9695857
48	328.9949053
49	328.009085
50	326.9365536
51	325.862847
52	325.0069398
53	324.1524047
54	323.4142815
55	322.7323682
56	321.8114921
57	321.2654377
58	320.4838507
59	319.8776896
60	319.0636351
61	318.3481974
62	317.746437
63	317.3173183
64	316.820446
65	316.2916742
66	315.7736795
67	315.2774988
68	314.8114505
69	314.3345192
70	313.5203044
71	313.0729849
72	312.6000604
73	311.9887748
74	311.6258618
75	311.0739876
76	310.717725
77	310.1044748
78	309.5110852
79	308.9802227
80	308.4963667
81	308.0144318
82	307.4115488
83	307.0686602
84	306.7482783
85	306.281875
86	305.8787332
87	305.5159393
88	305.3520895
89	304.9609959
90	304.4326579
91	304.0913234
92	303.8202542
93	303.5661263
94	303.2270565
95	302.7626891
96	302.4090811
97	302.0400328
98	301.7894719
99	301.5057295
100	301.3293444
101	300.9059324
102	300.6571597
103	300.3619566
104	300.0767445
105	299.760791
106	299.6226664
107	299.4458959
108	298.9847844
109	298.6668276
110	298.4441063
111	297.8547532
112	297.5806108
113	297.3402955
114	297.0051839
115	296.8204292
116	296.5555749
117	296.3323623
118	296.0916051
119	295.5966009
120	295.318228
121	295.0648866
122	294.8218545
123	294.4670066
124	294.1316098
125	293.8336794
126	293.4640308
127	293.2202518
128	293.0052286
129	292.8327559
130	292.6414558
131	292.4222403
132	292.206522
133	291.9116798
134	291.5203335
135	291.3046481
136	290.9826456
137	290.8036719
138	290.5162397
139	290.3670657
140	289.8840244
141	289.5016592
142	289.2249115
143	288.8893606
144	288.6587088
145	288.4376311
146	288.2962265
147	287.9903503
148	287.8096356
149	287.6745478
150	287.4215687
151	287.3019325
152	287.1554062
153	286.9725816
154	286.6914812
155	286.5084088
156	286.2358505
157	285.9866078
158	285.7749801
159	285.6619769
160	285.4439953
161	285.1958635
162	284.8821082
163	284.6847587
164	284.4743147
165	284.3142692
166	284.1509138
167	283.885599
168	283.6232519
169	283.3420663
170	283.2009019
171	283.0122358
172	282.8373159
173	282.6704305
174	282.4815162
175	282.2507791
176	281.9786982
177	281.7501829
178	281.5541191
179	281.4490481
180	281.2641788
181	281.0179471
182	280.8123765
183	280.6346032
184	280.4983033
185	280.3114607
186	280.1164975
187	279.8686839
188	279.748951
189	279.6569314
190	279.4396681
191	279.3559676
192	279.2262802
193	279.1536362
194	278.9558285
195	278.750097
196	278.5873803
197	278.3670646
198	278.2467424
199	278.1025445
200	277.9786159
201	277.7816586
202	277.6375434
203	277.3753358
204	277.2463471
205	276.9145244
206	276.7873279
207	276.7129764
208	276.5943935
209	276.4376386
210	276.2413723
211	276.0351083
212	275.7844651
213	275.7267902
214	275.6406868
215	275.518104
216	275.255335
217	275.047177
218	274.9989554
219	274.7435202
220	274.5848243
221	274.437064
222	274.3478177
