iter	Passed	Remaining
0	38	76266
1	61	61320
2	72	48582
3	83	41637
4	92	36765
5	102	33951
6	112	31917
7	117	29211
8	127	28192
9	137	27312
10	147	26643
11	155	25838
12	165	25287
13	175	24834
14	184	24434
15	194	24089
16	203	23776
17	212	23402
18	222	23153
19	232	22978
20	245	23120
21	259	23375
22	271	23338
23	280	23069
24	291	23037
25	300	22804
26	310	22676
27	319	22532
28	329	22420
29	338	22223
30	350	22243
31	361	22214
32	372	22189
33	400	23132
34	442	24842
35	458	25005
36	473	25143
37	489	25250
38	504	25391
39	516	25317
40	526	25150
41	535	24984
42	547	24906
43	558	24830
44	567	24640
45	575	24460
46	585	24326
47	595	24198
48	603	24035
49	613	23914
50	621	23760
51	631	23654
52	640	23545
53	650	23441
54	665	23542
55	679	23571
56	690	23528
57	698	23398
58	708	23307
59	718	23219
60	727	23125
61	737	23042
62	747	22987
63	757	22906
64	766	22826
65	776	22748
66	784	22643
67	794	22569
68	804	22506
69	814	22454
70	824	22400
71	834	22341
72	849	22419
73	860	22388
74	880	22599
75	890	22542
76	899	22452
77	910	22443
78	919	22357
79	929	22303
80	938	22244
81	948	22187
82	957	22109
83	965	22030
84	975	21975
85	985	21922
86	996	21907
87	1005	21855
88	1016	21828
89	1027	21800
90	1036	21750
91	1045	21681
92	1058	21706
93	1068	21660
94	1082	21709
95	1095	21736
96	1109	21776
97	1118	21711
98	1127	21657
99	1139	21656
100	1149	21609
101	1158	21566
102	1167	21504
103	1176	21441
104	1184	21380
105	1194	21340
106	1203	21297
107	1212	21238
108	1221	21198
109	1231	21160
110	1241	21132
111	1250	21078
112	1260	21041
113	1269	21004
114	1280	20994
115	1295	21044
116	1310	21087
117	1323	21113
118	1337	21136
119	1347	21107
120	1358	21088
121	1367	21056
122	1378	21032
123	1388	21004
124	1400	21005
125	1414	21031
126	1426	21041
127	1437	21027
128	1450	21041
129	1461	21026
130	1472	21015
131	1490	21087
132	1504	21125
133	1522	21199
134	1541	21301
135	1562	21414
136	1575	21426
137	1588	21432
138	1600	21424
139	1611	21416
140	1622	21395
141	1632	21360
142	1642	21325
143	1651	21287
144	1663	21276
145	1674	21265
146	1686	21257
147	1698	21251
148	1716	21322
149	1729	21332
150	1742	21340
151	1753	21318
152	1762	21282
153	1773	21264
154	1785	21257
155	1794	21210
156	1804	21182
157	1815	21164
158	1825	21135
159	1834	21099
160	1844	21072
161	1854	21045
162	1864	21018
163	1874	20988
164	1883	20951
165	1893	20919
166	1908	20947
167	1924	20987
168	1935	20971
169	1946	20952
170	1955	20920
171	1965	20889
172	1976	20869
173	1986	20843
174	1994	20801
175	2004	20771
176	2012	20731
177	2022	20702
178	2032	20673
179	2041	20640
180	2051	20612
181	2059	20573
